NHL_ID,Player,Team,Position,Jersey#,DOB,_source
8481597,Hugo Alnefelt,TBL,G,60.0,,nhl_search_api
8478020,Michael Amadio,OTT,R,22.0,,nhl_search_api
8481020,Justus Annunen,NSH,G,29.0,,nhl_search_api
8482891,Francesco Arcuri,DAL,C,54.0,,nhl_search_api
8485426,Asher Barnett,EDM,D,,,nhl_search_api
8484782,Andrew Basha,CGY,L,49.0,,nhl_search_api
8480208,Drake Batherson,OTT,R,19.0,,nhl_search_api
8484788,Kamil Bednarik,NYI,C,,,nhl_search_api
8483772,Parker Bell,CGY,L,87.0,,nhl_search_api
8485729,Stanislav Berezhnoy,CHI,G,31.0,,nhl_search_api
8484900,Cooper Black,FLA,G,31.0,,nhl_search_api
8476278,Colin Blackwell,DAL,C,15.0,,nhl_search_api
8482809,Jackson Blake,CAR,R,53.0,,nhl_search_api
8481557,Matt Boldy,MIN,L,12.0,,nhl_search_api
8484148,Oliver Bonk,PHI,D,59.0,,nhl_search_api
8480003,Jesper Boqvist,FLA,C,70.0,,nhl_search_api
8478840,Will Borgen,NYR,D,17.0,,nhl_search_api
8480803,Evan Bouchard,EDM,D,2.0,,nhl_search_api
8483890,Braeden Bowman,VGK,R,42.0,,nhl_search_api
8481598,Philip Broberg,STL,D,6.0,,nhl_search_api
8485381,Henry Brzustewicz,LAK,D,,,nhl_search_api
8477402,Pavel Buchnevich,STL,L,89.0,,nhl_search_api
8484798,Zeev Buium,VAN,D,24.0,,nhl_search_api
8485059,Austin Burnevik,ANA,R,81.0,,nhl_search_api
8470613,Brent Burns,COL,D,84.0,,nhl_search_api
8474590,John Carlson,WSH,D,74.0,,nhl_search_api
8485036,Clarke Caswell,SEA,L,56.0,,nhl_search_api
8484464,Noah Chadwick,TOR,D,58.0,,nhl_search_api
8485635,Gabriel Chiarot,VAN,R,,,nhl_search_api
8477365,Connor Clifton,PIT,D,75.0,,nhl_search_api
8479594,Nathan Clurman,MTL,D,44.0,,nhl_search_api
8479525,Ross Colton,COL,C,20.0,,nhl_search_api
8482679,Matt Coronato,CGY,R,27.0,,nhl_search_api
8479602,Jeremy Davies,VGK,D,84.0,,nhl_search_api
8480865,Noah Dobson,MTL,D,53.0,,nhl_search_api
8475343,Nic Dowd,WSH,C,26.0,,nhl_search_api
8475168,Matt Duchene,DAL,C,95.0,,nhl_search_api
8476856,Mathew Dumba,PIT,D,24.0,,nhl_search_api
8474586,Jordan Eberle,SEA,R,7.0,,nhl_search_api
8482762,Simon Edvinsson,DET,D,77.0,,nhl_search_api
8484807,Cole Eiserman,NYI,L,,,nhl_search_api
8484808,Charlie Elick,CBJ,D,57.0,,nhl_search_api
8483680,George Fegaras,DAL,D,,,nhl_search_api
8482090,Jack Finley,TBL,C,62.0,,nhl_search_api
8485020,Dmitry Gamzin,NYI,G,,,nhl_search_api
8476867,Brendan Gaunce,CBJ,C,16.0,,nhl_search_api
8485058,Rico Gredig,NYR,L,82.0,,nhl_search_api
8482168,Maxim Groshev,TBL,D,52.0,,nhl_search_api
8479336,Carl Grundstrom,PHI,R,91.0,,nhl_search_api
8481586,Matvey Guskov,MIN,C,,,nhl_search_api
8484799,Michael Hage,MTL,C,,,nhl_search_api
8482512,Jackson Hallum,VGK,L,59.0,,nhl_search_api
8477990,Brandon Halverson,TBL,G,33.0,,nhl_search_api
8477451,Ryan Hartman,MIN,R,38.0,,nhl_search_api
8483666,Mattias Havelid,SJS,D,25.0,,nhl_search_api
8483453,Gavin Hayes,CHI,L,92.0,,nhl_search_api
8480849,Barrett Hayton,UTA,C,27.0,,nhl_search_api
8484864,Kevin He,WPG,L,46.0,,nhl_search_api
8480002,Nico Hischier,NJD,C,13.0,,nhl_search_api
8477405,Marcus Hogberg,NYI,G,50.0,,nhl_search_api
8484181,Michael Hrabal,UTA,G,,,nhl_search_api
8483457,Lane Hutson,MTL,D,48.0,,nhl_search_api
8484938,Arttu Hyry,DAL,R,25.0,,nhl_search_api
8481607,Albert Johansson,DET,D,20.0,,nhl_search_api
8483679,Anton Johansson,DET,D,,,nhl_search_api
8485638,Ludvig Johnson,UTA,D,,,nhl_search_api
8478472,Mathieu Joseph,STL,R,71.0,,nhl_search_api
8478057,Dakota Joshua,TOR,C,81.0,,nhl_search_api
8475172,Nazem Kadri,CGY,C,91.0,,nhl_search_api
8482176,Wyatt Kaiser,CHI,D,44.0,,nhl_search_api
8482775,Oliver Kapanen,MTL,C,91.0,,nhl_search_api
8483461,Devin Kaplan,PHI,R,68.0,,nhl_search_api
8484397,Arttu Karki,VGK,D,,,nhl_search_api
8483739,Gustav Karlsson,BUF,C,,,nhl_search_api
8476448,William Karlsson,VGK,C,71.0,,nhl_search_api
8485084,Yaroslav Korostelyov,SJS,G,,,nhl_search_api
8478092,Pavel Kraskovsky,WPG,C,,,nhl_search_api
8476792,Torey Krug,STL,D,47.0,,nhl_search_api
8483467,Kirill Kudryavtsev,VAN,D,59.0,,nhl_search_api
8480798,Philipp Kurashev,SJS,C,96.0,,nhl_search_api
8485607,Noah Laberge,BUF,D,,,nhl_search_api
8482928,Brody Lamb,NYR,R,46.0,,nhl_search_api
8482668,Tristan Lennox,NYI,G,35.0,,nhl_search_api
8484186,Ryan Leonard,WSH,R,9.0,,nhl_search_api
8485074,Stevie Leskovar,MIN,D,,,nhl_search_api
8482929,Emil Lilleberg,TBL,D,78.0,,nhl_search_api
8485443,Zeb Lindgren,NYR,D,,,nhl_search_api
8485602,Jimmy Lombardi,LAK,C,,,nhl_search_api
8483478,Rieger Lorenz,MIN,L,,,nhl_search_api
8481711,Matias Maccelli,TOR,L,63.0,,nhl_search_api
8477511,Anthony Mantha,PIT,R,39.0,,nhl_search_api
8478975,Mason Marchment,CBJ,L,17.0,,nhl_search_api
8485444,Owen Martin,WPG,C,72.0,,nhl_search_api
8479318,Auston Matthews,TOR,C,34.0,,nhl_search_api
8477955,Jared McCann,SEA,L,19.0,,nhl_search_api
8474151,Ryan McDonagh,TBL,D,27.0,,nhl_search_api
8478414,Timo Meier,NJD,R,28.0,,nhl_search_api
8484416,Quentin Miller,MTL,G,,,nhl_search_api
8483489,Fraser Minten,BOS,C,93.0,,nhl_search_api
8484878,Luke Misa,CGY,C,78.0,,nhl_search_api
8484599,Nate Misskey,SJS,D,89.0,,nhl_search_api
8485445,Mason Moe,NJD,C,,,nhl_search_api
8478470,Samuel Montembeault,MTL,G,35.0,,nhl_search_api
8484197,Oliver Moore,CHI,C,11.0,,nhl_search_api
8484399,Vadim Moroz,UTA,R,,,nhl_search_api
8484821,Sam Morton,CGY,C,45.0,,nhl_search_api
8484445,Timur Mukhanov,CAR,L,,,nhl_search_api
8484200,Quentin Musty,SJS,L,13.0,,nhl_search_api
8484203,Bradly Nadeau,CAR,L,29.0,,nhl_search_api
8482746,Olivier Nadeau,BUF,R,54.0,,nhl_search_api
8477968,Alex Nedeljkovic,SJS,G,33.0,,nhl_search_api
8484770,Sam O'Reilly,TBL,R,23.0,,nhl_search_api
8479671,Mathieu Olivier,CBJ,R,24.0,,nhl_search_api
8476892,Colton Parayko,STL,D,55.0,,nhl_search_api
8480238,Jiri Patera,VAN,G,30.0,,nhl_search_api
8481592,Jakob Pelletier,TBL,L,11.0,,nhl_search_api
8484401,Christopher Pelosi,BOS,C,,,nhl_search_api
8484473,Janne Peltonen,CHI,D,,,nhl_search_api
8481059,Scott Perunovich,UTA,D,48.0,,nhl_search_api
8484872,Kasper Pikkarainen,NJD,R,,,nhl_search_api
8482748,Francesco Pinelli,LAK,C,73.0,,nhl_search_api
8480145,Neal Pionk,WPG,D,4.0,,nhl_search_api
8475752,Tyler Pitlick,MIN,C,19.0,,nhl_search_api
8482895,Nikita Quapp,CAR,G,70.0,,nhl_search_api
8484901,Jacob Quillan,TOR,C,26.0,,nhl_search_api
8476483,Rickard Rakell,PIT,R,67.0,,nhl_search_api
8480056,Jack Rathbone,BUF,D,3.0,,nhl_search_api
8482691,Aatu Raty,VAN,C,54.0,,nhl_search_api
8484218,Scott Ratzlaff,BUF,G,34.0,,nhl_search_api
8478458,Jack Roslovic,EDM,C,28.0,,nhl_search_api
8484966,Jakub Rychlovsky,DET,L,81.0,,nhl_search_api
8482890,Ethan Samson,TBL,D,75.0,,nhl_search_api
8480873,Rasmus Sandin,WSH,D,38.0,,nhl_search_api
8474568,Luke Schenn,WPG,D,5.0,,nhl_search_api
8484225,Zachary Schulz,NYI,D,,,nhl_search_api
8481068,Yegor Sharangovich,CGY,C,17.0,,nhl_search_api
8485603,Zachary Sharp,SJS,D,,,nhl_search_api
8481007,Shamil Shmakov,COL,G,,,nhl_search_api
8476869,Brady Skjei,NSH,D,76.0,,nhl_search_api
8484395,Konnor Smith,ANA,D,63.0,,nhl_search_api
8474564,Steven Stamkos,NSH,C,91.0,,nhl_search_api
8484409,Hoyt Stanley,OTT,D,,,nhl_search_api
8484232,Andrew Strathmann,CBJ,D,,,nhl_search_api
8482768,Fedor Svechkov,NSH,C,40.0,,nhl_search_api
8484235,Brandon Svoboda,SJS,C,88.0,,nhl_search_api
8479420,Tage Thompson,BUF,C,72.0,,nhl_search_api
8482631,Eduards Tralmaks,DET,R,,,nhl_search_api
8484958,Maxim Tsyplakov,NJD,R,42.0,,nhl_search_api
8484851,Veeti Väisänen,UTA,D,51.0,,nhl_search_api
8473575,Semyon Varlamov,NYI,G,40.0,,nhl_search_api
8478366,Frank Vatrano,ANA,R,77.0,,nhl_search_api
8484451,Visa Vedenpaa,SEA,G,33.0,,nhl_search_api
8480014,Gabriel Vilardi,WPG,C,13.0,,nhl_search_api
8484881,Eemil Vinni,EDM,G,,,nhl_search_api
8478435,Dan Vladar,PHI,G,80.0,,nhl_search_api
8481568,Alex Vlasic,CHI,D,72.0,,nhl_search_api
8479549,Konstantin Volkov,NSH,G,,,nhl_search_api
8483757,Theo Wallberg,OTT,D,,,nhl_search_api
8485032,Eerik Wallenius,OTT,D,,,nhl_search_api
8481569,Marshall Warren,NYI,D,41.0,,nhl_search_api
8475809,Scott Wedgewood,COL,G,41.0,,nhl_search_api
8477425,Miles Wood,CBJ,L,11.0,,nhl_search_api
8476459,Mika Zibanejad,NYR,C,93.0,,nhl_search_api
8485646,Reko Alanko,UTA,D,,,nhl_search_api
8484408,Vilmer Alriksson,VAN,L,46.0,,nhl_search_api
8479998,Mikey Anderson,LAK,D,44.0,,nhl_search_api
8478891,Mason Appleton,DET,C,22.0,,nhl_search_api
8485068,Luke Ashton,CBJ,D,,,nhl_search_api
8482137,Yaroslav Askarov,SJS,G,30.0,,nhl_search_api
8481219,Jonathan Aspirot,BOS,D,45.0,,nhl_search_api
8485496,Dalton Bancroft,BOS,R,47.0,,nhl_search_api
8477964,Ivan Barbashev,VGK,L,49.0,,nhl_search_api
8484142,Denver Barkey,PHI,C,52.0,,nhl_search_api
8478445,Mathew Barzal,NYI,C,13.0,,nhl_search_api
8484785,Jacob Battaglia,CGY,R,60.0,,nhl_search_api
8475968,Alex Belzile,MTL,R,60.0,,nhl_search_api
8482107,Mike Benning,FLA,D,20.0,,nhl_search_api
8484147,Carson Bjarnason,PHI,G,64.0,,nhl_search_api
8478444,Brock Boeser,VAN,R,6.0,,nhl_search_api
8482133,Thomas Bordeleau,NJD,C,74.0,,nhl_search_api
8485594,Yegor Borikov,UTA,R,,,nhl_search_api
